message,description,id,page_id,full_text,locations
"Bair island, Southeast Maluku.",,433618953473105_753443401490657,wonderfulplacesindo,"Bair island, Southeast Maluku. ",Southeast Maluku
"""The most wonderful waterfalls in Indonesia"" 
Which one your favourite?",,433618953473105_738662309635433,wonderfulplacesindo,"""The most wonderful waterfalls in Indonesia"" 
Which one your favourite? ",Indonesia
"Waerebo traditional village, Flores, NTT.

📷 heriand",,433618953473105_734938100007854,wonderfulplacesindo,"Waerebo traditional village, Flores, NTT.

 heriand ",Flores
"Ngurtavur beach, Southeast Maluku.

📷 hafiedzuk23",,433618953473105_716153811886283,wonderfulplacesindo,"Ngurtavur beach, Southeast Maluku.

 hafiedzuk23 ",Southeast Maluku
"Playing with wild sharks in raja ampat.

📷 Kakaban trip",,433618953473105_712338748934456,wonderfulplacesindo,"Playing with wild sharks in raja ampat.

 Kakaban trip ",
"Mangrove forest, Bontolebang, South sulawesi.

📷 sanovra jr",,433618953473105_706641829504148,wonderfulplacesindo,"Mangrove forest, Bontolebang, South sulawesi.

 sanovra jr ",
"Pergasingan hill, Lombok.

📷 the mancung",,433618953473105_701452510023080,wonderfulplacesindo,"Pergasingan hill, Lombok.

 the mancung ",Lombok
"Good morning from the island of gods! 
""BALI""",,433618953473105_696798763821788,wonderfulplacesindo,"Good morning from the island of gods! 
""BALI"" ",
"Kelor Island, Komodo national park, Flores, NTT province.

Kelor island is small island with white sandy beach, magnificent sea garden and colorful trophical fishes.

It's only 1.5 hours away from labuan bajo port",,433618953473105_653493398152325,wonderfulplacesindo,"Kelor Island, Komodo national park, Flores, NTT province.

Kelor island is small island with white sandy beach, magnificent sea garden and colorful trophical fishes.

It's only   away from labuan bajo port ",Kelor Island
"Ngurtafur white sand beach, Southeast Maluku.

📷 Ilham arch",,433618953473105_650101148491550,wonderfulplacesindo,"Ngurtafur white sand beach, Southeast Maluku.

 Ilham arch ",Southeast Maluku
"Cikaso Waterfall, Sukabumi, West Java.",,433618953473105_591271517707847,wonderfulplacesindo,"Cikaso Waterfall, Sukabumi, West Java. ",West Java$$Sukabumi
"Jatiluwih Rice Terraces, Bali.",,433618953473105_590579307777068,wonderfulplacesindo,"Jatiluwih Rice Terraces, Bali. ",Bali
"Rumah Gadang, Traditional house of West Sumatera.",,433618953473105_590363704465295,wonderfulplacesindo,"Rumah Gadang, Traditional house of West Sumatera. ",West Sumatera
"Matajitu Waterfall, Moyo Island, NTB 

© muhammad hanif",,433618953473105_569475739887425,wonderfulplacesindo,"Matajitu Waterfall, Moyo Island, NTB 

 muhammad hanif ",Moyo Island
Canoeing on the seaside of Raja Ampat.,,433618953473105_568903766611289,wonderfulplacesindo,Canoeing on the seaside of Raja Ampat. ,
"Leuwi Hejo Waterfall, Bogor, West Java.

© Ambo Reynaldi",,433618953473105_565428596958806,wonderfulplacesindo,"Leuwi Hejo Waterfall, Bogor, West Java.

 Ambo Reynaldi ",West Java$$Bogor
"Great photo from the top of Padar Island, Flores.",,433618953473105_560306714137661,wonderfulplacesindo,"Great photo from the top of Padar Island, Flores. ",Padar Island
"Pink Beach, Flores.

© anuakbar",,433618953473105_560258114142521,wonderfulplacesindo,"Pink Beach, Flores.

 anuakbar ",Pink Beach
